job_title,Status,Publicatiedatum,Weergaven,Reacties,Referentie,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Geregistreerd sinds,Privacy partner,Privacy officer(s),Recruiters,Opdrachten,Laatste review,Geplaatst door,Eindklant
Security Engineer,Open (sinds 23-05-2023 15:28),23-05-2023 15:28,48 ingelogde gebruikers,1 reactie,,12-07-2023,"Ja, Amstelveen",Zo snel mogelijk,6 maanden  (optie tot verlenging),35 - 40,Marktconform,Freelance / ad interim,"You will be involved in full cycles of designing, building, fine tuning and improving security detection and response capabilities; use data analytics, define and implement new tooling and collaborate with stakeholders to improve response actions in a large cyber defense SOC environment with a focus on SIEM content. With the following results (SMART) Transform data into informative Security alertsAnalyse threat actors’ techniques and develop resilient detection contentParticipate in purple teaming exercises and improve existing detectionDevelop machine learning models to detect behavioural aspects to drive Security Detection.Develop playbooks to automate response actions. Must have skills Experience in creating threat detection use cases/modelsStrong defensive mindset with good understanding of threat actors TTPs and how to defend against theseExperience in working with Microsoft security productsExperience with programming (preferably Python, REST API), automation or machine learningStrong skills in query languages like SPL, KQLGood command of the English language, both written and verbally. Nice to have skills Security certifications such as OSCP, GPEN, GCFA, GMON, GCDA",20 mei 2016,-,,20,58 / 6227,"A nice clear explanation of the requirements.
The only thing that would improve adverts would be extra info such as free (onsite) parking or walking distance to a station",Elliot Churms,
Azure DevOps Engineer,Open (sinds 23-05-2023 14:52),23-05-2023 14:52,59 ingelogde gebruikers,0 reacties,,,"In overleg, Amsterdam",Zo snel mogelijk,6 maanden  (optie tot verlenging),36 - 40,Marktconform,Freelance / ad interim,"Azure DevOps Engineer As a preferred supplier to one of our biggest financial client, I am seeking for a Azure DevOps Engineer for a position in Amsterdam, Netherlands",,,,,,,,
Data Analist/Data Engineer,Open (sinds 23-05-2023 13:29),23-05-2023 13:29,82 ingelogde gebruikers,4 reacties,AD,26-05-2023,"In overleg, Amsterdam",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 36,85 tot 105 per uur,Freelance / ad interim,We zijn op zoek naar een proactieve data-analist met uitgebreide ervaring in dataverwerking. De taak van de data-analist is om te helpen bij de gestructureerde ontsluiting en verwerking van twee grote datasets die dagelijks in XML-formaat worden ontvangen (met validatie tegen een schema),,,,,,,,
Data Science Software Engineer,Open (sinds 23-05-2023 10:57),23-05-2023 10:57,57 ingelogde gebruikers,2 reacties,B-086,25-05-2023,"In overleg, Arnhem",Zo snel mogelijk,7 maanden  (optie tot verlenging),36,85 tot 100 per uur,Freelance / ad interim,Profiel Senior Python Software engineer met kennis van Data ScienceWil jij meewerken aan de energietransitie in Nederland? Dan is deze vacature iets voor jou,,,,,,,,
Python Software Engineer,Open (sinds 23-05-2023 10:36),23-05-2023 10:36,57 ingelogde gebruikers,2 reacties,,25-05-2023,"In overleg, Arnhem",Zo snel mogelijk,6 maanden  (optie tot verlenging),36,Marktconform,Freelance / ad interim,Voor onze opdrachtgever zijn wij op zoek naar een Senior Python Software engineer met kennis van Data Science. Achtergrond opdrachtSamen met je enthousiaste collega’s ga jij met de nieuwste technologie aan de slag om de tools voor onze engineers en projectmanagers verder uit te bouwen,,,,,,,,
Interim Azure Data Engineer,Open (sinds 23-05-2023 10:35),23-05-2023 10:35,65 ingelogde gebruikers,3 reacties,,,"Ja, Amsterdam",Zo snel mogelijk,12 maanden  (optie tot verlenging),32 - 36,per uur,Freelance / ad interim,"Interim Azure Data Engineer gezocht! | Regio Amsterdam | 32 tot 36 uur per week | Looptijd van minimaal 12 maanden + optie tot verlenging | 1 á 2 dagen per week op kantoor! Voor een directe eindklant van ons binnen de financiële sector ben ik op zoek naar een Interim Azure Data Engineer. De opdrachtgever is op zoek naar een enthousiaste Azure Data Engineer die één van de ICT-teams kan gaan versterken. De collega’s van dit team zijn trots op de resultaten die ze opleveren en er is een goede informele sfeer. Het team werkt Agile volgens de Scrum methodiek in een DevOps-team. Het team werkt op dit moment hard aan een applicatie die de divisie Statistiek in staat stelt om statistiekproducten te ontwikkelen voor interne en externe afnemers. Dagelijks worden effectenrapportages ontvangen van rapporterende instellingen. Deze rapportages geven de organisatie in combinatie met andere brondata een goed beeld van deze instellingen. Bij veel van de afnemers van de applicatie is er een groeiende vraag naar schaalbare en robuuste dataoplossingen. Het team heeft dan ook als doel gesteld om haar on-premise oplossing te gaan migreren naar een Azure Cloud oplossing. Door deze migratie ontstaan er nieuwe uitdagingen op het gebied van Azure Synapse, Spark technologie en Power BI. Je zal aan de slag gaan met oplossingen in Azure Synapse (voor data-integratie en ETL-proces), Notebooks met Python en Azure Data Lake, maar er zal ook nagedacht moeten worden over interfaces met de gebruikers om data te kunnen inzien, analyseren, corrigeren en verzenden middels Power BI. Eisen:Uiterlijk vanaf 1 juli beschikbaar; Tenminste voor 32 uur per week beschikbaar; Uitstekende beheersing van de Nederlandse taal; Minimaal 3 jaar werkervaring als Data Engineer binnen het Azure domein; Minimaal 3 jaar werkervaring met SQL Database; Minimaal 1 jaar werkervaring met Azure DataFactory, Synapse & DevOps; Minimaal 2 jaar werkervaring met Power BI.Wensen:Werkervaring met: Spark, Powershell, Data Vault, Yaml/Bicep en dimensionaal modelleren;’ Ervaring met migraties naar de cloud; Ervaring met het werken binnen Agile/Scrum omgeving.Interesse? Stuur even je CV en dan bel ik je zo snel mogelijk!",30 januari 2020,-,,4,22 / 345,Een berichtje gestuurd met een update.,Victor Franken,
Data Science Software Engineer,Open (sinds 23-05-2023 10:17),23-05-2023 10:17,35 ingelogde gebruikers,2 reacties,BBBH95572_1684826698,,"Ja, Arnhem",Zo snel mogelijk,6 maanden,36,per uur,Freelance / ad interim,Voor de eindklant zijn wij op zoek naar een Data Science Software Engineer Startdatum01/06/2023Einddatum31/12/2023Sluitingsdatum CV25/05/2023 ,,,,,,,,
Senior DevOps Engineer,Open (sinds 22-05-2023 20:37),22-05-2023 20:37,60 ingelogde gebruikers,4 reacties,,30-08-2023,"Ja, Amsterdam",Zo snel mogelijk,2 jaar  (optie tot verlenging),36 - 40,Marktconform,Freelance / ad interim,"As a preferred supplier to one of the biggest clients, I am seeking a Senior Devops Engineer with experience in Red hat Linux in Netherlands (Amsterdam) for a long term contract",,,,,,,,
SAP BI Analist,Open (sinds 22-05-2023 17:36),22-05-2023 17:36,24 ingelogde gebruikers,0 reacties,9133977,30-05-2023,"In overleg, Groningen",Zo snel mogelijk,5 maanden,36,Marktconform,Freelance / ad interim,"Business intelligence/ data analyse is erop gericht informatie te verzamelen en te analyseren teneinde beslissingsondersteunende informatie te verkrijgen. De BI/data-specialist is een functie die sterk in ontwikkeling is als gevolg van de toegevoegde waarde van datamining (big-data. De BI/data-specialist analyseert behoeften aan (strategische of tactische) managementinformatie en stelt query’s op waarmee datamining wordt gerealiseerd en waarmee de gevraagde informatie kan worden gepresenteerd. In het kader van project GABI (Gegevens, Analytics, Business Intelligence) is er nader onderzoek nodig naar de vervanging van SAP FrontEnd (BUsinessObjects). De complicerende factor die hierbij meegenomen moet worden is de daaropvolgende upgrade van SAP naar SAP HANA (SAP4HANA), die voor wijzigingen in de SAP BackEnd (DataWarehouse) zal zorgen. Het DUO organisatieonderdeel wat hierdoor geraakt wordt is het zgn. Bedrijfsinformatie Compentence Center (BICC) Nadere analyse is nodig van welke onderdelen er geraakt worden (zowel vanuit GABI als vanuit SAP 4HANA) en wat de best passende SAP oplossing hiervoor is. Merk op dat BICC naast SAP ook veel rapportages vanuit andere bronsystemen verzorgt (ong. 70%). Opdracht bestaat uit volgende onderdelen Onderzoek van huidige SAP BI omgevingInzicht van de impact van projecten GABI en SAP4HANAAnalyse standaard beschikbare SAP bouwblokken (zng. Business content) binnen SAP BI op / binnen HANAAdvies over best passende oplossing / te volgen scenario vanuit SAP perspectief (balans tussen mogelijkheden, BICC continuïteit, kosten, flexibiliteit, robuustheid oplossing etc.) Functie-eisenHBO werk- en denkniveau;Recente werkervaring als SAP BI Analist(>5 jaar)Aantoonbare SAP BI op HANA expertise (FrontEnd / rapportage/ dashboarding technologie / etc.)Aantoonbare SAP BI op HANA expertise (BackEnd / Datawarehousing/ ETL/ etc.) Aanvullende kennisgebieden/ opleidingen Business Information Management Foundation, TOGAF practitioner, Ontwikkeling Informatiesystemen Foundation, Object Oriëntatie Foundation, Bachelor Bedrijfskundige Informatica, Python Fundamentals / Advanced CompetentiesJe bent analytisch en resultaatgerichtJe beheerst de Nederlandse taal in woord en geschriftJe hebt een goede omgevingsbewustzijnJe hebt overtuigingskrachtJe bent resultaatgerichtArbeidsvoorwaarden Deze rol staat ook open voor ZZP-ers en doorleen kandidaten.De opdracht loopt van 01-07-2023 tot en met 31-12-2023 en op deze rol kan tot 30-05 gereageerd worden. BedrijfsinformatieDUO verzorgt als uitvoeringsorganisatie, zijnde onderdeel van het Ministerie van Onderwijs, Cultuur en Wetenschap de uitvoering van complexe wet- en regelgeving en heeft een uitgebreid dienstenpakket. DUO financiert en informeert onderwijsdeelnemers en onderwijsinstellingen.",24 maart 2015,-,,122,108 / 12781,Prettig contact. Eén van de fijnere bureaus om mee samen te werken,Rachid El Mokhtari,DUO
Data Analyst,Open (sinds 22-05-2023 17:01),22-05-2023 17:01,102 ingelogde gebruikers,3 reacties,2023-134,25-05-2023,"Ja, Schiphol",Zo snel mogelijk,7 maanden  (optie tot verlenging),32,in overleg,Freelance / ad interim,"For our client, based in Amsterdam region , we are looking forRoleData Analyst Reference number2023-134 Start date01-06-2023 Duration31-12-2023 ",,,,,,,,
