job_title,Geregistreerd sinds,Privacy partner,Recruiters,Opdrachten,Laatste review,Geplaatst door,Status,Publicatiedatum,Weergaven,Reacties,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Referentie,Eindklant
Data Analyst,18 september 2008,-,3,6 / 1159,"Netjes feedback gekregen binnen redelijke termijn, goed gesprek en een organisatie die van wanten weet",Sifra Thuss,Open (sinds 16-05-2023 15:13),16-05-2023 15:13,81 ingelogde gebruikers,5 reacties,,"Ja, Amsterdam",Zo snel mogelijk,7 maanden,40,80 tot 88 per uur,Freelance / ad interim,"For one of our regular clients in the financial industry we are looking for several data analysts. As a Data Analyst/Scientist you are responsible for the design, development, maintenance and continuous improvement of our risk & control framework, data quality framework, data lineage- and data analytics capabilities, as well as data visualization using business intelligence tools (e.g. Power BI). You identify, analyse and interpret trends and patterns in complex data sets and provide insights based upon data to further improve our operations and processes by automation/ innovation.You communicate findings effectively and translate them into recommended actions. To achieve all this, you work in collaboration with business developers, data engineers within your team and various stakeholders outside your team.Skills and knowledge: Relevant knowledge, skills, competences & desired education level Have proficiency in using SQL, Python and PySpark. Experience in Databricks is a plus. Have knowledge of at least one of the cloud platforms (Azure, AWS, GCP) Be self-motivated Be teamwork-, innovation- and goal-orientated Have strong interpersonal skills and communication skills Embrace the agile way of working Have comfort working in a dynamic environment with several ongoing concurrent projects; able to prioritize, and manage time effectively Be knowledgeable on Finance/Risk and reporting processes and you want to broaden and deepen your analytical skills related to reporting, processes, data and applications. Experience in Banking is a plus. ",2402,
Specialist Technisch Beheer,09 oktober 2012,-,3,5 / 1299,"Ik ben keurig netjes op de hoogte gehouden van de voortgang, veel overleg met de accountmanager over de klant en de opdracht, hier kunnen veel interim bureaus een voorbeeld an nemen",Lucila Pacin,Open (sinds 16-05-2023 13:09),16-05-2023 13:09,43 ingelogde gebruikers,0 reacties,23-05-2023,"Ja, Houten",Zo snel mogelijk,6 maanden  (optie tot verlenging),36,Marktconform,Freelance / ad interim,"Oproep aan alle Netwerk ingenieurs. Heb jij een passie voor het vertalen van ontwerpen naar geavanceerde technische oplossingen?  Sluit je aan bij het dynamische team van netwerkenthousiastelingen en neem een spannende rol aan als Netwerk engineer in het bedrijf dat verantwoordelijk is voor het beheer en de vormgeving van de netwerkarchitectuur die het weg- en waterverkeer in Nederland regelt. De belangrijkste verantwoordelijkheden zullen zijnOntwerpconcepten omzetten in technische specificaties en oplossingen, bijdragen aan de ontwikkeling van nieuwe producten, systemen en diensten. Aansturen van wijzigingen in bestaande ICT-omgevingen, gebruikmakend van je expertise in routing, switching, LAN/WAN-technologieën. Vooronderzoek doen naar eisen van de klant, haalbaarheid en technische oplossingen, problemen vertalen in innovatieve oplossingen. Technische ondersteuning bieden tijdens inbedrijfstelling, testen en probleemoplossing, zodat de implementatie naadloos verloopt. Opstellen van uitgebreide technische documentatie ter ondersteuning van projectoplevering en kennisdeling. Samenwerken met een getalenteerd team, waar nodig begeleiding en toezicht bieden, en tegelijkertijd effectieve communicatie onderhouden met belanghebbenden. Om succesvol te zijn in deze functie brengt u het volgende meeCisco CCNA of CCNP ervaring en certificering. Ruime ervaring met routing en switching, gekoppeld aan expertise op het gebied van LAN/WAN-technologieën. Kennis van firewalls Scripting met behulp van Python is een pluspunt. ",,
Data Engineer,16 augustus 2005,-,3,18 / 2773,Duidelijke terugkoppeling gegeven.,Mazita van Mal,Open (sinds 16-05-2023 12:11),16-05-2023 12:11,85 ingelogde gebruikers,3 reacties,,"Ja, Den Haag, Rotterdam, Amsterdam en remote",19-06-2023,9 maanden  (optie tot verlenging),32 - 36,Marktconform,Freelance / ad interim,"Roles and Responsibilities The Senior Data Engineer is the one who designs and builds data foundations and end to end solutions for the organizations Business to maximize value from data. The role helps create a data-driven thinking within the organization, not just within IT teams, but also in the wider Business stakeholder community. A Senior Data engineer is expected to be a subject matter expert, who design & build data solutions and mentor junior engineers. They are also the key drivers to convert Vison and Data Strategy for IT solutions and deliver. Key CharacteristicsTechnology expert who constantly pursues knowledge enhancement and has inherent curiosity to understand work from multiple dimensions.Deep data focus with expertise in technology domain A skilled communicator capable of speaking to both technical developers and business managers. Respected and trusted by leaders and staff. Actively delivers the roll-out and embedding of Data Foundation initiatives in support of the key business programmers. Coordinates the change management process, incident management and problem management process. Present reports and findings to key stakeholders and be the subject matter expert on Data Analysis & Design. Drive implementation efficiency and effectiveness across the pilots and future projects to minimize cost, increase speed of implementation and maximize value delivery. Contributes to community building initiatives like CoE, CoP.Qualifications Key SkillsADE + PythonMandatory skillsAWS/Azure/SAP - Master ELT - Master Data Modeling - Master Data Integration & Ingestion - Skill Data Manipulation and Processing - Skill GITHUB, Action, Azure DevOps - Skill Data factory, Databricks, SQL DB, Synapse, Stream Analytics, Glue, Airflow, Kinesis, Redshift, SonarQube, PyTest - SkillOptional skillsExperience in project management, running a scrum team. Experience working with BPC, Planning. Exposure to working with external technical ecosystem. MKDocs documentation Data Analysis Knowledge Data Engineering Knowledge Data Blending Skill ",,
Network Design Engineer,16 augustus 2005,-,3,18 / 2773,Duidelijke terugkoppeling gegeven.,Komal Gupta,Open (sinds 16-05-2023 11:59),16-05-2023 11:59,31 ingelogde gebruikers,2 reacties,,"Ja, Den Haag, Rotterdam, Amsterdam en remote",03-07-2023,9 maanden  (optie tot verlenging),32 - 36,Marktconform,Freelance / ad interim,"Our client is looking for a Network Design Engineer to work in The Hague, Rotterdam or Amsterdam and remotely. Connectivity Automation – Design to Deploy project Background Agility is the Ability to respond. Connectivity Automation started in 2022 to help deliver agility to the Connectivity domain across the lifecycle of all connectivity services.Being agile requires automation to execute on new demands or maintain the estate in an efficient and effective manner at low cost and short time. Automation will support processes and automate where reasonable using a short-, mid- and long-term approach. This automation initiative is the main answer to the ITDSO level an IT Ops of the Future strategy for Connectivity as it bundles and focusses all initiatives strategically.The key Design and Deploy processes will be automated using a Network Designer at the Centre approach, including the implementation part of designs. Automation will cover the capabilities from and end-to-end perspective across Plan, Build and Operate. Role & ActivitiesDesign intelligent and robust front-end and middleware solutions and integrations which support the Network Design Engineer processes, and to automate network connectivity. Collect & describe requirements, write functional- & technical specifications. Adhere to existing the standards of the organization and her guidelines. Work in a team of experts that have a high level of expertise and experience. Participate in system integration and user acceptance testing. Share knowledge and experience.Technology stackAzure and AWS (private) cloud services Python, Go, Ansible, Bash (and some PowerShell) Azure CI / CD pipelines Linux OS Apache webserver MySQL GIT OpenAPI, GraphQL NetConf, RestConf OpenConfig, JSON, YAML, YANG, AnsibleInfrastructure stackCisco Aruba Juniper Tufin Palo Alto Panorama Zscaler SDWAN vManage InfoBlox MoogSoft NetProfiler ServiceNow Active DirectoryRequirements Technical skillsFluent English (speaking & writing) Togaf certified Knowledge of IP Networking Experience in designing solutions with the technologies as mentioned above; Python and Linux knowledge/experience is appreciated Relational Database Management Systems; data modelling Experience with Agile/Scrum projects and Azure DevOps Good analytical skills Experience with connectivity automation is appreciated Object Oriented Software Development is appreciated Willingness to learn and to broaden one’s horizonSoft skillsStrong team player Capability to adapt Interested in working in a challenging environment Self-starting capability and mindsetEducationEducation in Information Technology or Computer Sciences or (Major) course work in Information Technology, Telecommunications, Data communicationsThe above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.",,
DevOps engineer,17 juni 2011,-,5,12 / 1506,Helaas geen match maar wel terugkoppeling gehad!,Yoni Palstra,Open (sinds 16-05-2023 11:25),16-05-2023 11:25,65 ingelogde gebruikers,0 reacties,21-05-2023,"In overleg, Utrecht",Zo snel mogelijk,1 jaar  (optie tot verlenging),32 - 40,per uur,Freelance / ad interim,"Ben jij een DevOps engineer die helemaal los kan gaan op Python, C/C++, die ervaring heeft met quantum key distributie, die kan bijdragen aan het ontwikkelen vanarchitectuur met complexe informatiestromenen uitstekend de Nederlandse taal beheerst? Dan ben ik op zoek naar jou!Voor onze eindklant in de omgeving van Utrecht zoeken wij een Senior Full-stack ontwikkelaar. In deze opdracht ga je het automatisering & orkestratie platform van de klant ontwikkelen zodat in de toekomst netwerkfuncties veilig kunnen worden gebruikt op de bestaande dienstverlening. De focus zal voornamelijk liggen op het bouwen van een prototype waarop verder ontwikkeld kan worden. Wat is jouw achtergrond?Je bent in staat mee te denken over implementaties en architectuur in relatie tot de toepassing (quantum key distributie) Je bent flexibel m.b.t. veranderingen in eisen en architectuur Je bent in staat mee te denken over implementaties en architectuur in relatie tot de toepassing (quantum key distributie) Je bent veiligheidsbewust Je bent in staat om complexe relaties, afhankelijkheden en informatiestromen te begrijpen en hiervoor oplossingen te bedenken; Je bent zeer ervaren in het ontwikkelen in Python3 en weet hoe de bijbehorende advanced features gebruikt worden; Je bent ervaren in het converteren van python code naar C/C++ of ontwikkelen in C/C++ t.b.v. performance verbetering Ervaring met het ontwikkelen en gebruik van REST API’s, CLI en SNMP Ervaring met Git o Continuous Integration Ervaring met het schrijven van tests Kennis van Flask en/of FastAPI Ervaring met Security Certificates (TLS, SSL, MTLS) Ervaring met Postgres Ervaring met OpenAPI spec Ervaring met Gitlab Ervaring met een Agile werkwijze zoals SCRUM Ervaring met Docker containers (bouwen, en uitrollen) Bij voorkeur affiniteit met computernetwerkenVoorwaardenStart 1 juni 2023 Duur1 jaar met optie op verlenging Inzet32-40 uur per week LocatieOmgeving Utrecht ContactpersoonIngrid BrediusReageren met Word cv en tariefindicatie.Trefwoorden: #Phython #developer #ontwikkelaar #IT #ICT #softwareontwikkeling #QKD #securityt #Utrecht #testautomatisering #Agile",,
Python Developer,25 september 2008,-,13,56 / 7755,"Snel en duidelijk overleg, erg prettig!",StarApple Interim,Open (sinds 16-05-2023 10:42),16-05-2023 10:42,68 ingelogde gebruikers,4 reacties,,"Ja, Utrecht",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,per uur,Freelance / ad interim,"For one of our clients we are looking for a Python Developer with strong affinity for hardware. You will work within a team with 7 other developers on a large-scale application related to innovative hardware. Job RequirementsAt least 3 - 5 years of professional experience with Python Strong affinity with hardware Experience with OOD and OOP Pre: PLC and/or embedded software NL or EN languageOfferStarting 01-07-2023 (earlier by agreement) 32 - 40 hours Contract 6 months, option to extend Full-time on-site work in the Amersfoort region ",Rens de Wit (REF FS),
Senior Ontwikkelaar OSS Open Formulieren,24 maart 2015,-,122,106 / 12765,Prettig contact. Eén van de fijnere bureaus om mee samen te werken,Roy Vissers,Open (sinds 16-05-2023 10:28),16-05-2023 10:28,23 ingelogde gebruikers,0 reacties,24-05-2023,Nee,Zo snel mogelijk,7 maanden  (optie tot verlenging),32 - 36,85 tot 105 per uur,Freelance / ad interim," Startin overleg Duur7 maanden met optie meerdere keren te verlengen LocatieVeelal remote maar minimaal 1 x p.w. op locatie in ApeldoornKorte toelichting Onze eindklant wil het eigen Design System Bold toepassen in de OSS Open Formulieren. Dit is op dit moment niet mogelijk omdat Open Formulieren hiervoor aangepast dient te worden. Opdracht Zelfstandig de OSS Open Formulieren op een dusdanige wijze onder architectuur en kwaliteitsraamwerken aan te passen, te testen, te valideren met de community, te demo'en en te releasen, dat het mogelijk wordt Design Systems (in ieder geval het Belastingdienst Design System Bold) te gebruiken in Open Formulieren, zodat deze ingezet kan worden door alle gebruikers van Open Formulieren, waaronder de Belastingdienst. Gebruik op de bestaande manier dient onverminderd gegarandeerd te zijn. Prestatiedoelstelling is in augustus 2023 de aangepaste software in productie te hebben staan. De planning van de Belastingdienst geeft aan dat een eerste formulier op basis van Open Formulieren en Bold in september 2023 naar productie gebracht wordt. Deze opdracht bevindt zich op het kritieke pad voor de planning van de Belastingdienst. Organisatie De IV- organisatie van de Belastingdienst is verantwoordelijk voor en verzorgt de ICT- voorzieningen. Het merendeel van de applicaties wordt op dit moment door de IV- organisatie zelf ontwikkeld, onderhouden en beheerd in het eigen data center. Naast de zorg voor continuïteit op de massale heffing- en inningsprocessen die plaatsvinden binnen een degelijke, stabiele omgeving, wordt er tevens volop gewerkt aan modernisering van het IV- landschap. Dit gebeurt deels intern door gebruik te maken van de expertise die intern aanwezig is, maar ook door het aantrekken van (kant-en-klaar) oplossingen en expertise uit de markt. Functie-eisenErvaring met ontwikkelen aan de core van de OSS Open Formulieren en alle onderliggende componenten zoals gerealiseerd met behulp van onder andere Postgres, Django, form.io, Python en Docker. Ervaring met het werken met betrokken software repositories, documenteren, doen van pull requests, (laten) testen, demo'en, packagen en uitleveren van de geraliseerde componenten binnen de OSS Open Formulieren.Competenties Gezochte medewerker is in staat te opereren binnen een klein team van betrokken specialisten, binnen een Agile omgeving, waarbij de bestaande architectuur en standaards van Open Formulieren gevolgd worden. Een goed begrip is noodzakelijk van wat erbij komt kijken een integrale aanpassing zoals deze door te voeren en in een relatief korte periode naar productie te brengen. Samenwerking met de teams DX Open Formulieren en Bold (beide binnen de afdeling Generiek Portaal) binnen de Belastingdienst is van groot belang om er zeker van zijn dat integratie van Bold na oplevering daadwerkelijk eenvoudig uit te voeren is.",2023-GV-7472,Ministerie van Financiën - Generieke Voorzieningen Belastingdienst
Python/C++ developer met PLC ervaring,06 januari 2015,-,34,38 / 2943,Snelle opvolging. Open en eerlijke communicatie.,Claire Kuyper,Open (sinds 15-05-2023 20:40),15-05-2023 20:40,52 ingelogde gebruikers,4 reacties,19-05-2023,"Ja, Utrecht ",Zo snel mogelijk,6 maanden  (optie tot verlenging),24 - 40,Marktconform,Freelance / ad interim,"Voor een gewaardeerde klant zijn wij op zoek naar een senior python developer met veel kennis van C++ en PLC programming.De organisatie bevindt zich in Utrecht en ervaring met hardware is een vereiste. Je komt in een team van 7 developers te werken, ze werken 3 keer per week op locatie.Omdat er iemand is uitgevallen wordt de hulp van een freelancer de komende tijd enorm op prijs gesteld!Indien je 24-40 uur beschikbaar bent per week en je interesse hebt in deze opdracht vertellen we je er graag meer over.",,High Voltage Engineering 
 Senior DevOps Engineer,26 juni 2018,-,8,6 / 980,Clear and friendly communication.,Will Beeson,Open (sinds 15-05-2023 20:37),15-05-2023 20:37,69 ingelogde gebruikers,4 reacties,01-07-2023,Nee,Zo snel mogelijk,6 maanden  (optie tot verlenging),36 - 40,per uur,Freelance / ad interim,"Freelance Senior DevOps EngineerHealth-tech Are you looking to bridge the gap between technology and medicine? Collaborate with the best minds in the cloud space? Or scale the platform for one of the coolest products in the Dutch tech space? Well, why not have all three... You will be entering a cutting-edge new team, working on a new greenfield project! ExperienceAWS Kubernetes Python CDKContact DetailsStart: 1st Hours: 36-40 Contract: 6 Months Location: Remote (Need to be located in NL)Does this sound like you? If so, reach out for a 100% private and confidential call where I can walk you through the project details! I am looking forward to hearing from you! Will",WB / HC / FOX,
Interim Data Scientist,30 januari 2020,-,4,16 / 338,Een berichtje gestuurd met een update.,Jimi van Gestel,Open (sinds 15-05-2023 17:49),15-05-2023 17:49,113 ingelogde gebruikers,10 reacties,24-06-2023,"Ja, Utrecht ",Zo snel mogelijk,5 maanden  (optie tot verlenging),24,in overleg,Freelance / ad interim,"Interim Data Scientist | 24 uur | Regio Utrecht | 5 maanden + Optie verlenging | Hybride Voor een relatie van Data First ben ik op zoek naar een Interim Data Scientist. Als Interim Data Scientist werk je samen met je team aan allerlei data producten welke al zijn gemaakt en nog moeten (door)ontwikkeld. Het zijn veel afwisselende producten welke er allemaal voor zorgen dat de opdrachtgever de klantwaarde zo hoog mogelijk gaat krijgen in de toekomst. Denk hierbij aan pricing analyses, CLV, CRM etc. Je werkt nauw samen met de Data Engineer en de business. Klinkt interessant? Dan is deze klus wellicht iets voor jou! Eisen:-Minimaal 5+ jaar relevante data werkervaring-Advanced kennis/ervaring met SQL-Kennis/ervaring met R-Kennis/ervaring met Azure-Kennis/ervaring met Python Aanbod:-Duur5 maanden + optie verlenging -LocatieRegio Utrecht (2 dagen) + remote (1 dag) -StartVanaf 01-06-2023 -TariefIn overlegInteresse? Stuur even je CV dan bel ik je zo snel mogelijk!",JVG,
